ID,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber
UmVhY3Rpb246NDI4Mjc1,26.0,26.0,0.0,26.0,0.0,26.0,55.0,55.0,0.0,55.0,0.0,55.0,55.845,55.845,0.0,55.845,0.0,55.845,1811.0,1811.0,0.0,1811.0,0.0,1811.0,8.0,8.0,0.0,8.0,0.0,8.0,4.0,4.0,0.0,4.0,0.0,4.0,132.0,132.0,0.0,132.0,0.0,132.0,1.83,1.83,0.0,1.83,0.0,1.83,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,10.73,10.73,0.0,10.729999999999999,1.7763568394002505e-15,10.73,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.0,2.1106628,0.0,2.1106628,229.0,229.0,0.0,229.0,0.0,229.0
UmVhY3Rpb246Njkw,26.0,26.0,0.0,26.0,0.0,26.0,55.0,55.0,0.0,55.0,0.0,55.0,55.845,55.845,0.0,55.845,0.0,55.845,1811.0,1811.0,0.0,1811.0,0.0,1811.0,8.0,8.0,0.0,8.0,0.0,8.0,4.0,4.0,0.0,4.0,0.0,4.0,132.0,132.0,0.0,132.0,0.0,132.0,1.83,1.83,0.0,1.83,0.0,1.83,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,10.73,10.73,0.0,10.73,0.0,10.73,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.0,2.1106628,0.0,2.1106628,229.0,229.0,0.0,229.0,0.0,229.0
UmVhY3Rpb246NzI2,26.0,26.0,0.0,26.0,0.0,26.0,55.0,55.0,0.0,55.0,0.0,55.0,55.845,55.845,0.0,55.845,0.0,55.845,1811.0,1811.0,0.0,1811.0,0.0,1811.0,8.0,8.0,0.0,8.0,0.0,8.0,4.0,4.0,0.0,4.0,0.0,4.0,132.0,132.0,0.0,132.0,0.0,132.0,1.83,1.83,0.0,1.83,0.0,1.83,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,10.73,10.73,0.0,10.73,0.0,10.73,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.0,2.1106628,0.0,2.1106628,229.0,229.0,0.0,229.0,0.0,229.0
UmVhY3Rpb246NDMyOTYx,26.0,26.0,0.0,26.0,0.0,26.0,55.0,55.0,0.0,55.0,0.0,55.0,55.845,55.845,0.0,55.84499999999999,7.105427357601002e-15,55.845,1811.0,1811.0,0.0,1811.0,0.0,1811.0,8.0,8.0,0.0,8.0,0.0,8.0,4.0,4.0,0.0,4.0,0.0,4.0,132.0,132.0,0.0,132.0,0.0,132.0,1.83,1.83,0.0,1.83,0.0,1.83,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,10.73,10.73,0.0,10.73,0.0,10.73,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.0,2.1106628,0.0,2.1106628,229.0,229.0,0.0,229.0,0.0,229.0
UmVhY3Rpb246NzM2,26.0,26.0,0.0,26.0,0.0,26.0,55.0,55.0,0.0,55.0,0.0,55.0,55.845,55.845,0.0,55.845,0.0,55.845,1811.0,1811.0,0.0,1811.0,0.0,1811.0,8.0,8.0,0.0,8.0,0.0,8.0,4.0,4.0,0.0,4.0,0.0,4.0,132.0,132.0,0.0,132.0,0.0,132.0,1.83,1.83,0.0,1.83,0.0,1.83,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,10.73,10.73,0.0,10.73,0.0,10.73,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.0,2.1106628,0.0,2.1106628,229.0,229.0,0.0,229.0,0.0,229.0
UmVhY3Rpb246NDM1NzQy,26.0,26.0,0.0,26.0,0.0,26.0,55.0,55.0,0.0,55.0,0.0,55.0,55.845,55.845,0.0,55.845,0.0,55.845,1811.0,1811.0,0.0,1811.0,0.0,1811.0,8.0,8.0,0.0,8.0,0.0,8.0,4.0,4.0,0.0,4.0,0.0,4.0,132.0,132.0,0.0,132.0,0.0,132.0,1.83,1.83,0.0,1.83,0.0,1.83,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,10.73,10.73,0.0,10.73,0.0,10.73,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.0,2.1106628,0.0,2.1106628,229.0,229.0,0.0,229.0,0.0,229.0
UmVhY3Rpb246NzYw,26.0,26.0,0.0,26.0,0.0,26.0,55.0,55.0,0.0,55.0,0.0,55.0,55.845,55.845,0.0,55.845,0.0,55.845,1811.0,1811.0,0.0,1811.0,0.0,1811.0,8.0,8.0,0.0,8.0,0.0,8.0,4.0,4.0,0.0,4.0,0.0,4.0,132.0,132.0,0.0,132.0,0.0,132.0,1.83,1.83,0.0,1.83,0.0,1.83,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,10.73,10.73,0.0,10.73,0.0,10.73,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.0,2.1106628,0.0,2.1106628,229.0,229.0,0.0,229.0,0.0,229.0
UmVhY3Rpb246MzM5MDIw,47.0,47.0,0.0,47.0,0.0,47.0,65.0,65.0,0.0,65.0,0.0,65.0,107.8682,107.8682,0.0,107.8682,0.0,107.8682,1234.93,1234.93,0.0,1234.93,0.0,1234.93,11.0,11.0,0.0,11.0,0.0,11.0,5.0,5.0,0.0,5.0,0.0,5.0,145.0,145.0,0.0,145.0,0.0,145.0,1.93,1.93,0.0,1.93,0.0,1.93,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,11.0,0.0,11.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,16.33,16.33,0.0,16.33,0.0,16.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,225.0,0.0,225.0,0.0,225.0
UmVhY3Rpb246MzM5MDIx,47.0,47.0,0.0,47.0,0.0,47.0,65.0,65.0,0.0,65.0,0.0,65.0,107.8682,107.8682,0.0,107.8682,0.0,107.8682,1234.93,1234.93,0.0,1234.93,0.0,1234.93,11.0,11.0,0.0,11.0,0.0,11.0,5.0,5.0,0.0,5.0,0.0,5.0,145.0,145.0,0.0,145.0,0.0,145.0,1.93,1.93,0.0,1.93,0.0,1.93,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,11.0,0.0,11.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,16.33,16.33,0.0,16.33,0.0,16.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,225.0,0.0,225.0,0.0,225.0
UmVhY3Rpb246Njk1,47.0,47.0,0.0,47.0,0.0,47.0,65.0,65.0,0.0,65.0,0.0,65.0,107.8682,107.8682,0.0,107.8682,0.0,107.8682,1234.93,1234.93,0.0,1234.93,0.0,1234.93,11.0,11.0,0.0,11.0,0.0,11.0,5.0,5.0,0.0,5.0,0.0,5.0,145.0,145.0,0.0,145.0,0.0,145.0,1.93,1.93,0.0,1.93,0.0,1.93,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,11.0,0.0,11.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,16.33,16.33,0.0,16.33,0.0,16.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,225.0,0.0,225.0,0.0,225.0
