ID,Equation,Energy,Facet,Chemical_Composition,N_ve_met,CE_met (eV),Surf_en_met (J/m2),WF_met (eV),IE_met (eV),EA_met (eV),Atom_radius_met (A),Electroneg_met,HOMO_mol (eV),LUMO_mol (eV),IE_mol (eV),EA_mol (eV),Gap_mol (eV),Mol Mass (g/mol),Coordinates_Available
UmVhY3Rpb246NzI2,H2O(g) + * -> H2O*,-0.515,211,Fe,8,4.28,2.61,3.68,7.9,0.16,1.56,1.83,-7.81,1.94,7.81,-1.94,9.75,18.02,False
UmVhY3Rpb246NDMyOTYx,NH3(g) + * -> NH3*,-0.844829286565073,110,Fe28,8,4.28,2.45,3.96,7.9,0.16,1.56,1.83,-7.2,0.54,7.2,-0.54,7.74,17.03,True
UmVhY3Rpb246NzM2,NH3(g) + * -> NH3*,-0.67,111,Fe,8,4.28,2.73,4.25,7.9,0.16,1.56,1.83,-7.2,0.54,7.2,-0.54,7.74,17.03,False
UmVhY3Rpb246NDM1NzQy,CO(g) + * -> CO*,-1.2033137739345,100,Fe16,8,4.28,2.5,4.79,7.9,0.16,1.56,1.83,-10.0,-0.49,10.0,0.49,9.51,28.01,True
UmVhY3Rpb246NzYw,CO(g) + * -> CO*,-1.527,211,Fe,8,4.28,2.61,3.68,7.9,0.16,1.56,1.83,-10.0,-0.49,10.0,0.49,9.51,28.01,False
UmVhY3Rpb246Njk1,H2O(g) + * -> H2O*,-0.12,211,Ag,11,2.95,0.87,3.97,7.58,1.3,1.65,1.93,-7.81,1.94,7.81,-1.94,9.75,18.02,False
UmVhY3Rpb246NjY1,O2(g) + * -> O2*,0.37,111,Ag,11,2.95,0.76,4.34,7.58,1.3,1.65,1.93,-8.27,-2.94,8.27,2.94,5.33,32.0,False
UmVhY3Rpb246NzA4,NH3(g) + * -> NH3*,-0.25,211,Ag,11,2.95,0.87,3.97,7.58,1.3,1.65,1.93,-7.2,0.54,7.2,-0.54,7.74,17.03,False
UmVhY3Rpb246Njg3,NH3(g) + * -> NH3*,-0.08,111,Ag,11,2.95,0.76,4.34,7.58,1.3,1.65,1.93,-7.2,0.54,7.2,-0.54,7.74,17.03,False
UmVhY3Rpb246Njcz,HCN(g) + * -> HCN*,-0.017,211,Ag,11,2.95,0.87,3.97,7.58,1.3,1.65,1.93,-9.97,0.32,9.97,-0.32,10.29,27.03,False
UmVhY3Rpb246NjY2,CH2CH2(g) + * -> CH2CH2*,0.144,211,Ag,11,2.95,0.87,3.97,7.58,1.3,1.65,1.93,-7.18,0.56,7.18,-0.56,7.74,28.05,False
UmVhY3Rpb246Njk3,NO(g) + * -> NO*,-0.155,311,Ag,11,2.95,0.86,4.11,7.58,1.3,1.65,1.93,-6.02,-2.57,6.02,2.57,3.45,30.01,False
UmVhY3Rpb246Njgy,NO(g) + * -> NO*,-0.055,110,Ag,11,2.95,0.87,4.06,7.58,1.3,1.65,1.93,-6.02,-2.57,6.02,2.57,3.45,30.01,False
UmVhY3Rpb246Njk5,NO(g) + * -> NO*,-0.165,211,Ag,11,2.95,0.87,3.97,7.58,1.3,1.65,1.93,-6.02,-2.57,6.02,2.57,3.45,30.01,False
UmVhY3Rpb246Njc3,NO(g) + * -> NO*,-0.045,111,Ag,11,2.95,0.76,4.34,7.58,1.3,1.65,1.93,-6.02,-2.57,6.02,2.57,3.45,30.01,False
UmVhY3Rpb246MzM5NTg1,H2O(g) + * -> H2O*,-0.09580502397796,111,Al12,3,3.39,0.77,4.0,5.99,0.44,1.18,1.61,-7.81,1.94,7.81,-1.94,9.75,18.02,True
UmVhY3Rpb246MzM5MDU3,H2O(g) + * -> H2O*,-0.071002663879085,111,Au12,11,3.81,0.71,5.16,9.22,2.31,1.74,2.54,-7.81,1.94,7.81,-1.94,9.75,18.02,True
UmVhY3Rpb246Njgz,H2O(g) + * -> H2O*,-0.061,211,Au,11,3.81,0.82,4.96,9.22,2.31,1.74,2.54,-7.81,1.94,7.81,-1.94,9.75,18.02,False
UmVhY3Rpb246NDMzMDI3,NH3(g) + * -> NH3*,-0.58986541149352,111,Au28,11,3.81,0.71,5.16,9.22,2.31,1.74,2.54,-7.2,0.54,7.2,-0.54,7.74,17.03,True
UmVhY3Rpb246NDMzMDMz,NH3(g) + * -> NH3*,-0.459403147018747,211,Au36,11,3.81,0.82,4.96,9.22,2.31,1.74,2.54,-7.2,0.54,7.2,-0.54,7.74,17.03,True
UmVhY3Rpb246NjY3,CO(g) + * -> CO*,0.1,111,Au,11,3.81,0.71,5.16,9.22,2.31,1.74,2.54,-10.0,-0.49,10.0,0.49,9.51,28.01,False
UmVhY3Rpb246NjY4,CH2CH2(g) + * -> CH2CH2*,0.084,211,Au,11,3.81,0.82,4.96,9.22,2.31,1.74,2.54,-7.18,0.56,7.18,-0.56,7.74,28.05,False
UmVhY3Rpb246Njc4,NO(g) + * -> NO*,-0.045,111,Au,11,3.81,0.71,5.16,9.22,2.31,1.74,2.54,-6.02,-2.57,6.02,2.57,3.45,30.01,False
UmVhY3Rpb246Njky,NO(g) + * -> NO*,-0.105,110,Au,11,3.81,0.91,4.93,9.22,2.31,1.74,2.54,-6.02,-2.57,6.02,2.57,3.45,30.01,False
UmVhY3Rpb246NzEx,NO(g) + * -> NO*,-0.255,311,Au,11,3.81,0.87,4.94,9.22,2.31,1.74,2.54,-6.02,-2.57,6.02,2.57,3.45,30.01,False
