ID,HOMO_character,HOMO_element,HOMO_energy,LUMO_character,LUMO_element,LUMO_energy,gap_AO
UmVhY3Rpb246NDI4Mjc1,d,Fe,-0.295049,d,Fe,-0.295049,0.0
UmVhY3Rpb246Njkw,d,Fe,-0.295049,d,Fe,-0.295049,0.0
UmVhY3Rpb246NzI2,d,Fe,-0.295049,d,Fe,-0.295049,0.0
UmVhY3Rpb246NDMyOTYx,d,Fe,-0.295049,d,Fe,-0.295049,0.0
UmVhY3Rpb246NzM2,p,N,-0.266297,p,N,-0.266297,0.0
UmVhY3Rpb246NDM1NzQy,d,Fe,-0.295049,d,Fe,-0.295049,0.0
UmVhY3Rpb246NzYw,d,Fe,-0.295049,d,Fe,-0.295049,0.0
UmVhY3Rpb246MzM5MDIw,s,Ag,-0.157407,s,Ag,-0.157407,0.0
UmVhY3Rpb246MzM5MDIx,s,Ag,-0.157407,s,Ag,-0.157407,0.0
UmVhY3Rpb246Njk1,s,H,-0.233471,s,H,-0.233471,0.0
UmVhY3Rpb246Njc1,s,H,-0.233471,s,H,-0.233471,0.0
UmVhY3Rpb246Njg=,s,Ag,-0.157407,s,Ag,-0.157407,0.0
UmVhY3Rpb246Njk=,s,Ag,-0.157407,s,Ag,-0.157407,0.0
UmVhY3Rpb246Njc=,s,Ag,-0.157407,s,Ag,-0.157407,0.0
UmVhY3Rpb246NjY1,d,Ag,-0.298706,d,Ag,-0.298706,0.0
UmVhY3Rpb246NzA4,s,H,-0.233471,s,H,-0.233471,0.0
UmVhY3Rpb246Njg3,s,H,-0.233471,s,H,-0.233471,0.0
UmVhY3Rpb246Njcz,s,H,-0.233471,s,H,-0.233471,0.0
UmVhY3Rpb246NDMzNjc5,s,Ag,-0.157407,s,Ag,-0.157407,0.0
UmVhY3Rpb246NDMzNjg4,s,Ag,-0.157407,s,Ag,-0.157407,0.0
UmVhY3Rpb246NDM1NjEx,s,Ag,-0.157407,s,Ag,-0.157407,0.0
UmVhY3Rpb246MTc0NDgw,s,Ag,-0.157407,s,Ag,-0.157407,0.0
UmVhY3Rpb246MTAz,p,C,-0.199186,p,C,-0.199186,0.0
UmVhY3Rpb246NjY5,p,C,-0.199186,p,C,-0.199186,0.0
UmVhY3Rpb246Njg0,p,C,-0.199186,p,C,-0.199186,0.0
UmVhY3Rpb246NjY2,p,C,-0.199186,p,C,-0.199186,0.0
UmVhY3Rpb246NDM0MDgy,s,Ag,-0.157407,s,Ag,-0.157407,0.0
UmVhY3Rpb246NDM0MDky,s,Ag,-0.157407,s,Ag,-0.157407,0.0
UmVhY3Rpb246NDM0MDk2,s,Ag,-0.157407,s,Ag,-0.157407,0.0
UmVhY3Rpb246Njk3,p,N,-0.266297,p,N,-0.266297,0.0
UmVhY3Rpb246Njgy,p,N,-0.266297,p,N,-0.266297,0.0
UmVhY3Rpb246MTM=,p,N,-0.266297,p,N,-0.266297,0.0
UmVhY3Rpb246Njk5,p,N,-0.266297,p,N,-0.266297,0.0
UmVhY3Rpb246NzA3,p,N,-0.266297,p,N,-0.266297,0.0
UmVhY3Rpb246Njc3,p,N,-0.266297,p,N,-0.266297,0.0
UmVhY3Rpb246MzM5NTg0,p,Al,-0.102545,p,Al,-0.102545,0.0
UmVhY3Rpb246MzM5NTg1,p,Al,-0.102545,p,Al,-0.102545,0.0
UmVhY3Rpb246NDM1NzI4,p,Al,-0.102545,p,Al,-0.102545,0.0
UmVhY3Rpb246MzM5MDU3,s,Au,-0.162334,s,Au,-0.162334,0.0
UmVhY3Rpb246Njc0,s,H,-0.233471,s,H,-0.233471,0.0
UmVhY3Rpb246Njgz,s,H,-0.233471,s,H,-0.233471,0.0
UmVhY3Rpb246NDMzMDI3,s,Au,-0.162334,s,Au,-0.162334,0.0
UmVhY3Rpb246NDMzMDMz,s,Au,-0.162334,s,Au,-0.162334,0.0
UmVhY3Rpb246NzE1,s,H,-0.233471,s,H,-0.233471,0.0
UmVhY3Rpb246Njg2,s,H,-0.233471,s,H,-0.233471,0.0
UmVhY3Rpb246NDMzNDYx,s,Au,-0.162334,s,Au,-0.162334,0.0
UmVhY3Rpb246NDMzNDcw,s,Au,-0.162334,s,Au,-0.162334,0.0
UmVhY3Rpb246NDM1NjM1,s,Au,-0.162334,s,Au,-0.162334,0.0
UmVhY3Rpb246MTc0NDY4,s,Au,-0.162334,s,Au,-0.162334,0.0
UmVhY3Rpb246NjY3,p,C,-0.199186,p,C,-0.199186,0.0
UmVhY3Rpb246NzE5,p,C,-0.199186,p,C,-0.199186,0.0
UmVhY3Rpb246NDMxOTc0,p,C,-0.199186,s,Au,-0.162334,0.036851999999999996
UmVhY3Rpb246NjY4,p,C,-0.199186,p,C,-0.199186,0.0
UmVhY3Rpb246NDMzOTc3,s,Au,-0.162334,s,Au,-0.162334,0.0
UmVhY3Rpb246NDMzOTg3,s,Au,-0.162334,s,Au,-0.162334,0.0
UmVhY3Rpb246NDMzOTkx,s,Au,-0.162334,s,Au,-0.162334,0.0
UmVhY3Rpb246Njc4,p,N,-0.266297,p,N,-0.266297,0.0
UmVhY3Rpb246NzEy,p,N,-0.266297,p,N,-0.266297,0.0
UmVhY3Rpb246Njky,p,N,-0.266297,p,N,-0.266297,0.0
UmVhY3Rpb246NzEx,p,N,-0.266297,p,N,-0.266297,0.0
UmVhY3Rpb246NzEw,p,N,-0.266297,p,N,-0.266297,0.0
UmVhY3Rpb246MzM5NTUx,s,Cu,-0.172056,s,Cu,-0.172056,0.0
UmVhY3Rpb246MzM5NTUy,s,Cu,-0.172056,s,Cu,-0.172056,0.0
UmVhY3Rpb246NzA0,d,Cu,-0.202272,d,Cu,-0.202272,0.0
UmVhY3Rpb246Njc2,d,Cu,-0.202272,d,Cu,-0.202272,0.0
UmVhY3Rpb246NzI=,s,Cu,-0.172056,s,Cu,-0.172056,0.0
UmVhY3Rpb246NzE=,s,Cu,-0.172056,s,Cu,-0.172056,0.0
UmVhY3Rpb246NzA=,s,Cu,-0.172056,s,Cu,-0.172056,0.0
UmVhY3Rpb246NzA2,d,Cu,-0.202272,d,Cu,-0.202272,0.0
UmVhY3Rpb246NDMzMDE1,s,Cu,-0.172056,s,Cu,-0.172056,0.0
UmVhY3Rpb246NDMzMDIx,s,Cu,-0.172056,s,Cu,-0.172056,0.0
UmVhY3Rpb246Njkz,d,Cu,-0.202272,d,Cu,-0.202272,0.0
UmVhY3Rpb246NzIy,d,Cu,-0.202272,d,Cu,-0.202272,0.0
UmVhY3Rpb246NzAz,d,Cu,-0.202272,d,Cu,-0.202272,0.0
UmVhY3Rpb246NDMxNjAy,s,Cu,-0.172056,s,Cu,-0.172056,0.0
UmVhY3Rpb246NDMxNjA4,s,Cu,-0.172056,s,Cu,-0.172056,0.0
UmVhY3Rpb246NDMzNTE1,s,Cu,-0.172056,s,Cu,-0.172056,0.0
UmVhY3Rpb246NDMzNTE5,s,Cu,-0.172056,s,Cu,-0.172056,0.0
UmVhY3Rpb246NDMzNTM1,s,Cu,-0.172056,s,Cu,-0.172056,0.0
UmVhY3Rpb246NDMzNTQx,s,Cu,-0.172056,s,Cu,-0.172056,0.0
UmVhY3Rpb246NDMzNTQz,s,Cu,-0.172056,s,Cu,-0.172056,0.0
UmVhY3Rpb246NDMzNTYx,s,Cu,-0.172056,s,Cu,-0.172056,0.0
UmVhY3Rpb246NDMzNTYy,s,Cu,-0.172056,s,Cu,-0.172056,0.0
UmVhY3Rpb246NDMzNTY1,s,Cu,-0.172056,s,Cu,-0.172056,0.0
