ID,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber
UmVhY3Rpb246NDI4Mjc1,1.0,26.0,25.0,21.466666666666665,7.253333333333334,26.0,55.0,92.0,37.0,62.06666666666667,11.306666666666668,55.0,1.00794,55.845,54.83706,45.87701866666667,15.94877013333333,55.845,14.01,1811.0,1796.99,1454.3213333333333,570.6858666666667,1811.0,1.0,16.0,15.0,7.6,1.7600000000000005,8.0,1.0,4.0,3.0,3.466666666666667,0.8533333333333333,4.0,31.0,132.0,101.0,114.13333333333334,28.586666666666662,132.0,1.83,3.44,1.6099999999999999,1.9866666666666668,0.2506666666666667,1.83,1.0,2.0,1.0,1.8666666666666667,0.2311111111111111,2.0,0.0,4.0,4.0,0.26666666666666666,0.49777777777777776,0.0,0.0,6.0,6.0,4.8,1.9200000000000002,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,6.933333333333334,1.7066666666666666,8.0,0.0,1.0,1.0,0.13333333333333333,0.23111111111111113,0.0,0.0,2.0,2.0,0.13333333333333333,0.24888888888888888,0.0,0.0,4.0,4.0,3.2,1.28,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,3.466666666666667,0.8533333333333333,4.0,6.615,10.73,4.115,10.072999999999999,1.051200000000001,10.73,0.0,7.853,7.853,1.0470666666666666,1.8149155555555552,0.0,0.0,2.1106628,2.1106628,1.68853024,0.6754120960000001,2.1106628,12.0,229.0,217.0,209.86666666666667,30.61333333333333,229.0
UmVhY3Rpb246Njkw,1.0,26.0,25.0,9.0,8.5,1.0,55.0,92.0,37.0,81.5,13.25,92.0,1.00794,55.845,54.83706,18.46507,18.689965,1.00794,14.01,1811.0,1796.99,473.455,668.7725,14.01,1.0,16.0,15.0,6.5,5.5,1.0,1.0,4.0,3.0,2.0,1.0,1.0,31.0,132.0,101.0,65.0,34.0,31.0,1.83,3.44,1.6099999999999999,2.4175,0.5112499999999999,2.2,1.0,2.0,1.0,1.5,0.5,1.0,0.0,4.0,4.0,1.0,1.5,0.0,0.0,6.0,6.0,1.5,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,4.0,3.0,1.0,0.0,1.0,1.0,0.5,0.5,1.0,0.0,2.0,2.0,0.5,0.75,0.0,0.0,4.0,4.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.0,1.0,1.0,6.615,10.73,4.115,8.26625,1.65125,6.615,0.0,7.853,7.853,3.9265,3.9265,7.853,0.0,2.1106628,2.1106628,0.5276657,0.79149855,0.0,12.0,229.0,217.0,157.25,72.625,194.0
UmVhY3Rpb246NzI2,1.0,26.0,25.0,9.0,8.5,1.0,55.0,92.0,37.0,81.5,13.25,92.0,1.00794,55.845,54.83706,18.46507,18.689965,1.00794,14.01,1811.0,1796.99,473.455,668.7725,14.01,1.0,16.0,15.0,6.5,5.5,1.0,1.0,4.0,3.0,2.0,1.0,1.0,31.0,132.0,101.0,65.0,34.0,31.0,1.83,3.44,1.6099999999999999,2.4175,0.5112499999999999,2.2,1.0,2.0,1.0,1.5,0.5,1.0,0.0,4.0,4.0,1.0,1.5,0.0,0.0,6.0,6.0,1.5,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,4.0,3.0,1.0,0.0,1.0,1.0,0.5,0.5,1.0,0.0,2.0,2.0,0.5,0.75,0.0,0.0,4.0,4.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.0,1.0,1.0,6.615,10.73,4.115,8.26625,1.65125,6.615,0.0,7.853,7.853,3.9265,3.9265,7.853,0.0,2.1106628,2.1106628,0.5276657,0.79149855,0.0,12.0,229.0,217.0,157.25,72.625,194.0
UmVhY3Rpb246NDMyOTYx,1.0,26.0,25.0,23.0625,5.140625,26.0,55.0,92.0,37.0,59.3125,7.546875,55.0,1.00794,55.845,54.83706,49.39657874999999,11.284737187500006,55.845,14.01,1811.0,1796.99,1587.90875,390.40968749999996,1811.0,1.0,15.0,14.0,7.5625,1.23046875,8.0,1.0,4.0,3.0,3.65625,0.6015625,4.0,31.0,132.0,101.0,120.625,19.90625,132.0,1.83,3.04,1.21,1.9025,0.12687500000000002,1.83,1.0,2.0,1.0,1.90625,0.169921875,2.0,0.0,3.0,3.0,0.09375,0.181640625,0.0,0.0,6.0,6.0,5.25,1.3125,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,7.25,1.3125,8.0,0.0,1.0,1.0,0.09375,0.169921875,0.0,0.0,3.0,3.0,0.09375,0.181640625,0.0,0.0,4.0,4.0,3.5,0.875,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,3.6875,0.546875,4.0,6.615,14.76875,8.15375,10.470429687500001,0.7228930664062494,10.73,0.0,7.853,7.853,0.937375,1.6404062499999998,0.0,0.0,2.1106628,2.1106628,1.84682995,0.4617074875,2.1106628,194.0,229.0,35.0,224.625,7.65625,229.0
UmVhY3Rpb246NzM2,1.0,26.0,25.0,7.2,7.5200000000000005,1.0,55.0,92.0,37.0,82.6,11.280000000000001,92.0,1.00794,55.845,54.83706,14.575104,16.5079584,1.00794,14.01,1811.0,1796.99,383.216,571.1136,14.01,1.0,15.0,14.0,5.2,5.040000000000001,1.0,1.0,4.0,3.0,1.8,0.9600000000000002,1.0,31.0,132.0,101.0,59.2,33.839999999999996,31.0,1.83,3.04,1.21,2.294,0.2983999999999999,2.2,1.0,2.0,1.0,1.4,0.48,1.0,0.0,3.0,3.0,0.6,0.96,0.0,0.0,6.0,6.0,1.2,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,3.2,2.6399999999999997,1.0,0.0,1.0,1.0,0.6,0.4800000000000001,1.0,0.0,3.0,3.0,0.6,0.96,0.0,0.0,4.0,4.0,0.8,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.0,1.2,1.0,6.615,14.76875,8.15375,9.06875,2.9445,6.615,0.0,7.853,7.853,5.9992,2.39968,7.853,0.0,2.1106628,2.1106628,0.42213256,0.675412096,0.0,194.0,229.0,35.0,201.0,11.2,194.0
UmVhY3Rpb246NDM1NzQy,6.0,26.0,20.0,23.88888888888889,3.7530864197530858,26.0,55.0,87.0,32.0,58.0,5.333333333333333,55.0,12.0107,55.845,43.8343,51.19611666666667,8.26468148148148,55.845,54.8,3823.0,3768.2,1825.2111111111112,221.97654320987664,1811.0,8.0,16.0,8.0,8.777777777777779,1.3827160493827166,8.0,2.0,4.0,2.0,3.7777777777777777,0.3950617283950618,4.0,66.0,132.0,66.0,125.22222222222223,12.049382716049378,132.0,1.83,3.44,1.6099999999999999,1.9594444444444445,0.23012345679012347,1.83,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,0.3333333333333333,0.5925925925925926,0.0,0.0,6.0,6.0,5.333333333333333,1.1851851851851853,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,4.0,7.666666666666667,0.5925925925925924,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.3333333333333333,0.5925925925925926,0.0,0.0,4.0,4.0,3.5555555555555554,0.7901234567901236,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,3.888888888888889,0.2098765432098766,4.0,5.64,10.73,5.090000000000001,10.356944444444444,0.6632098765432103,10.73,0.0,4.496,4.496,0.2497777777777778,0.4718024691358025,0.0,0.0,2.1106628,2.1106628,1.8761447111111111,0.4169210469135803,2.1106628,12.0,229.0,217.0,215.0,24.88888888888889,229.0
UmVhY3Rpb246NzYw,6.0,26.0,20.0,13.333333333333334,8.444444444444445,6.0,55.0,87.0,32.0,73.0,12.0,55.0,12.0107,55.845,43.8343,27.9517,18.595533333333332,12.0107,54.8,3823.0,3768.2,1896.2666666666667,1284.4888888888888,54.8,8.0,16.0,8.0,12.666666666666666,3.111111111111111,8.0,2.0,4.0,2.0,2.6666666666666665,0.8888888888888888,2.0,66.0,132.0,66.0,91.33333333333333,27.11111111111111,66.0,1.83,3.44,1.6099999999999999,2.606666666666667,0.5555555555555557,1.83,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.0,1.3333333333333333,0.0,0.0,6.0,6.0,2.0,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,4.0,6.0,1.3333333333333333,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,1.3333333333333333,0.0,0.0,4.0,4.0,1.3333333333333333,1.7777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,3.3333333333333335,0.8888888888888888,2.0,5.64,10.73,5.090000000000001,8.491666666666667,1.9011111111111114,5.64,0.0,4.496,4.496,1.4986666666666668,1.9982222222222223,0.0,0.0,2.1106628,2.1106628,0.7035542666666667,0.9380723555555556,0.0,12.0,229.0,217.0,145.0,88.66666666666667,12.0
UmVhY3Rpb246MzM5MDIw,1.0,47.0,46.0,38.266666666666666,13.973333333333334,47.0,65.0,92.0,27.0,70.06666666666666,8.106666666666664,65.0,1.00794,107.8682,106.86026,87.49557866666666,32.59619413333334,107.8682,14.01,1234.93,1220.92,993.4653333333333,386.34346666666676,1234.93,1.0,16.0,15.0,10.0,2.4,11.0,1.0,5.0,4.0,4.266666666666667,1.1733333333333333,5.0,31.0,145.0,114.0,124.53333333333333,32.74666666666667,145.0,1.93,3.44,1.51,2.066666666666667,0.21866666666666687,1.93,1.0,2.0,1.0,1.0666666666666667,0.12444444444444443,1.0,0.0,4.0,4.0,0.26666666666666666,0.49777777777777776,0.0,0.0,10.0,10.0,8.0,3.2,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,10.0,9.333333333333334,2.666666666666666,11.0,0.0,1.0,1.0,0.9333333333333333,0.12444444444444443,1.0,0.0,2.0,2.0,0.13333333333333333,0.24888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0666666666666667,0.12444444444444443,1.0,6.615,16.33,9.714999999999998,14.552999999999997,2.8432,16.33,0.0,7.853,7.853,1.0470666666666666,1.8149155555555552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,206.66666666666666,29.33333333333334,225.0
UmVhY3Rpb246MzM5MDIx,1.0,47.0,46.0,38.266666666666666,13.973333333333334,47.0,65.0,92.0,27.0,70.06666666666666,8.106666666666664,65.0,1.00794,107.8682,106.86026,87.49557866666666,32.59619413333334,107.8682,14.01,1234.93,1220.92,993.4653333333333,386.34346666666676,1234.93,1.0,16.0,15.0,10.0,2.4,11.0,1.0,5.0,4.0,4.266666666666667,1.1733333333333333,5.0,31.0,145.0,114.0,124.53333333333333,32.74666666666667,145.0,1.93,3.44,1.51,2.066666666666667,0.21866666666666687,1.93,1.0,2.0,1.0,1.0666666666666667,0.12444444444444443,1.0,0.0,4.0,4.0,0.26666666666666666,0.49777777777777776,0.0,0.0,10.0,10.0,8.0,3.2,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,10.0,9.333333333333334,2.666666666666666,11.0,0.0,1.0,1.0,0.9333333333333333,0.12444444444444443,1.0,0.0,2.0,2.0,0.13333333333333333,0.24888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0666666666666667,0.12444444444444443,1.0,6.615,16.33,9.714999999999998,14.552999999999997,2.8432,16.33,0.0,7.853,7.853,1.0470666666666666,1.8149155555555552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,206.66666666666666,29.33333333333334,225.0
UmVhY3Rpb246Njk1,1.0,47.0,46.0,14.25,16.375,1.0,65.0,92.0,27.0,84.0,9.5,92.0,1.00794,107.8682,106.86026,31.470869999999998,38.198665000000005,1.00794,14.01,1234.93,1220.92,329.4375,452.74625000000003,14.01,1.0,16.0,15.0,7.25,6.25,1.0,1.0,5.0,4.0,2.25,1.375,1.0,31.0,145.0,114.0,68.25,38.375,31.0,1.93,3.44,1.51,2.4425,0.49874999999999986,2.2,1.0,2.0,1.0,1.25,0.375,1.0,0.0,4.0,4.0,1.0,1.5,0.0,0.0,10.0,10.0,2.5,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,10.0,4.75,3.75,1.0,0.0,1.0,1.0,0.75,0.375,1.0,0.0,2.0,2.0,0.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.25,0.375,1.0,6.615,16.33,9.714999999999998,9.66625,3.3318749999999993,6.615,0.0,7.853,7.853,3.9265,3.9265,7.853,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,156.25,72.125,194.0
