name,filling,center,sigma_c,skewness,kurtosis,local_Pauling,IonizationPotential,ElectronAffinity,Pauling,WorkFunction,dBandCenter,AtomicRadius,OrbitalRadius
Co3Sc-Co,0.780575772,-1.226793541,1.719305669,0.543880843,3.486981082,1.788645054,7.88,0.66,1.88,5.76,-1.17,1.39,0.76
Co3Ti-Co,0.788917441,-1.316278767,1.721685668,0.473610276,3.363164018,1.823177952,7.88,0.66,1.88,5.76,-1.17,1.39,0.76
Co3V-Co,0.781796887,-1.376686939,1.730031487,0.411196028,3.290426069,1.839178856,7.88,0.66,1.88,5.76,-1.17,1.39,0.76
Co3Mn-Co,0.783823825,-1.225537198,1.552538122,0.247513037,3.893601945,1.824994325,7.88,0.66,1.88,5.76,-1.17,1.39,0.76
Co3Fe-Co,0.781406009,-1.313032474,1.734980825,0.329862089,3.287347262,1.872219694,7.88,0.66,1.88,5.76,-1.17,1.39,0.76
Co3Co-Co,0.775102109,-1.196786399,1.525308788,0.200228834,3.98851329,1.88,7.88,0.66,1.88,5.76,-1.17,1.39,0.76
Co3Ni-Co,0.779070494,-1.40638434,1.737991994,0.305116701,3.251974692,1.884584528,7.88,0.66,1.88,5.76,-1.17,1.39,0.76
Co3Cu-Co,0.780040409,-1.384322738,1.728868843,0.273061108,3.330053429,1.883063164,7.88,0.66,1.88,5.76,-1.17,1.39,0.76
Co3Y-Co,0.778987086,-1.223622438,1.7239309,0.594914739,3.628464151,1.759000028,7.88,0.66,1.88,5.76,-1.17,1.39,0.76
Co3Nb-Co,0.784449412,-1.310918944,1.776415434,0.424972229,3.276042585,1.83393016,7.88,0.66,1.88,5.76,-1.17,1.39,0.76
Co3Mo-Co,0.777665786,-1.328028888,1.762310299,0.312862691,3.240784223,1.920587694,7.88,0.66,1.88,5.76,-1.17,1.39,0.76
Co3Ru-Co,0.774369141,-1.383245664,1.791536871,0.242132972,3.120057356,1.926017066,7.88,0.66,1.88,5.76,-1.17,1.39,0.76
Co3Rh-Co,0.777473613,-1.424774323,1.798401016,0.207663151,3.131547412,1.936629835,7.88,0.66,1.88,5.76,-1.17,1.39,0.76
Co3Pd-Co,0.779760404,-1.420455078,1.790755371,0.174832178,3.171669142,1.926017066,7.88,0.66,1.88,5.76,-1.17,1.39,0.76
Co3Ag-Co,0.779459732,-1.394962639,1.728719385,0.245457937,3.363066626,1.887607144,7.88,0.66,1.88,5.76,-1.17,1.39,0.76
Co3La-Co,0.780280374,-1.23660267,1.695492623,0.555280075,3.633879024,1.731202314,7.88,0.66,1.88,5.76,-1.17,1.39,0.76
Co3Ta-Co,0.782436797,-1.285197488,1.810170074,0.445563163,3.318342281,1.815811162,7.88,0.66,1.88,5.76,-1.17,1.39,0.76
Co3W-Co,0.780318725,-1.331766519,1.796205993,0.306259359,3.281981242,1.946932057,7.88,0.66,1.88,5.76,-1.17,1.39,0.76
Co3Re-Co,0.781479787,-1.377903724,1.784440239,0.195578447,3.356744018,1.883620639,7.88,0.66,1.88,5.76,-1.17,1.39,0.76
Co3Os-Co,0.780834695,-1.423159179,1.804471206,0.153689477,3.320242079,1.926017066,7.88,0.66,1.88,5.76,-1.17,1.39,0.76
Co3Ir-Co,0.776798191,-1.438145269,1.835344419,0.120639288,3.227740075,1.926017066,7.88,0.66,1.88,5.76,-1.17,1.39,0.76
Co3Pt-Co,0.777183589,-1.446467014,1.846407983,0.052671304,3.263492326,1.936629835,7.88,0.66,1.88,5.76,-1.17,1.39,0.76
Co3Au-Co,0.779115065,-1.459455543,1.798716361,0.105930908,3.330573079,1.969073053,7.88,0.66,1.88,5.76,-1.17,1.39,0.76
Ni3Sc-Ni,0.879848353,-1.338552276,1.438255889,0.84153852,5.027886382,1.804890909,7.64,1.16,1.91,5.77,-1.29,1.38,0.71
Ni3Ti-Ni,0.886628651,-1.462482483,1.43195588,0.684566332,4.78857061,1.842671531,7.64,1.16,1.91,5.77,-1.29,1.38,0.71
Ni3Cr-Ni,0.872961033,-1.306739629,1.398106511,0.602700305,4.958344918,1.857155682,7.64,1.16,1.91,5.77,-1.29,1.38,0.71
Ni3Mn-Ni,0.880794912,-1.374036411,1.412742355,0.557419882,4.948365351,1.83186318,7.64,1.16,1.91,5.77,-1.29,1.38,0.71
Ni3Fe-Ni,0.876884133,-1.45127397,1.399576449,0.477561441,4.925112404,1.893724996,7.64,1.16,1.91,5.77,-1.29,1.38,0.71
Ni3Co-Ni,0.870877572,-1.429962816,1.387908543,0.450454794,4.889734547,1.903961944,7.64,1.16,1.91,5.77,-1.29,1.38,0.71
Ni3Ni-Ni,0.867716853,-1.405790032,1.374056827,0.454568849,4.933961105,1.91,7.64,1.16,1.91,5.77,-1.29,1.38,0.71
Ni3Cu-Ni,0.880682318,-1.357118318,1.363847561,0.405976037,5.046869223,1.907995798,7.64,1.16,1.91,5.77,-1.29,1.38,0.71
Ni3Y-Ni,0.876699203,-1.288932086,1.451244542,0.954967678,5.330761472,1.772506261,7.64,1.16,1.91,5.77,-1.29,1.38,0.71
Ni3Zr-Ni,0.880795942,-1.453881369,1.514005915,0.817169969,4.66496197,1.798193456,7.64,1.16,1.91,5.77,-1.29,1.38,0.71
Ni3Nb-Ni,0.876489143,-1.474685862,1.510054171,0.613905092,4.427815368,1.843532042,7.64,1.16,1.91,5.77,-1.29,1.38,0.71
Ni3Mo-Ni,0.876117763,-1.473472759,1.477674387,0.491437541,4.535770472,1.957570646,7.64,1.16,1.91,5.77,-1.29,1.38,0.71
Ni3Ru-Ni,0.870293012,-1.453627698,1.447026072,0.369133856,4.53987421,1.964767791,7.64,1.16,1.91,5.77,-1.29,1.38,0.71
Ni3Rh-Ni,0.876589645,-1.451082007,1.43536141,0.322436861,4.63763601,1.97885359,7.64,1.16,1.91,5.77,-1.29,1.38,0.71
Ni3Pd-Ni,0.87640657,-1.395796342,1.422245077,0.246047675,4.726252343,1.964767791,7.64,1.16,1.91,5.77,-1.29,1.38,0.71
Ni3Ag-Ni,0.878143828,-1.332016883,1.396547512,0.220062794,5.131914277,1.913318882,7.64,1.16,1.91,5.77,-1.29,1.38,0.71
Ni3La-Ni,0.874445891,-1.251440316,1.420717386,0.918569356,5.378277679,1.742180922,7.64,1.16,1.91,5.77,-1.29,1.38,0.71
Ni3Ta-Ni,0.880592787,-1.492384931,1.542127683,0.62147767,4.479540869,1.819889191,7.64,1.16,1.91,5.77,-1.29,1.38,0.71
Ni3W-Ni,0.877124323,-1.486584962,1.518750872,0.464068286,4.549752806,1.992549386,7.64,1.16,1.91,5.77,-1.29,1.38,0.71
Ni3Re-Ni,0.875895965,-1.485250281,1.493694576,0.330368658,4.638573636,1.907995798,7.64,1.16,1.91,5.77,-1.29,1.38,0.71
Ni3Os-Ni,0.869756584,-1.452773393,1.482821015,0.253161564,4.637775485,1.964767791,7.64,1.16,1.91,5.77,-1.29,1.38,0.71
Ni3Ir-Ni,0.875508764,-1.492975499,1.488815837,0.199244472,4.629228247,1.964767791,7.64,1.16,1.91,5.77,-1.29,1.38,0.71
