name,OH,filling,center,sigma_c,skewness,kurtosis,local_Pauling,IonizationPotential,ElectronAffinity,Pauling,WorkFunction,dBandCenter,AtomicRadius,OrbitalRadius
M-Ni-Cu,0.5025310000000001,0.866845025,-1.0582361359999999,1.2256079579999999,0.37087020200000004,5.860200899,1.9069944859999999,7.64,1.16,1.91,5.77,-1.29,1.38,0.71
M-Ni-Ru,0.148383,0.870556035,-1.180083304,1.210548241,0.343018922,5.964618415,1.992737811,7.64,1.16,1.91,5.77,-1.29,1.38,0.71
M-Ni-Rh,0.24558200000000002,0.862961577,-1.1968395729999999,1.219834316,0.279196388,6.020930014,2.014205656,7.64,1.16,1.91,5.77,-1.29,1.38,0.71
M-Ni-Pd,0.17663199999999998,0.866354788,-1.127358063,1.156319776,0.284750287,6.080364474,1.992737811,7.64,1.16,1.91,5.77,-1.29,1.38,0.71
M-Ni-W,0.032181,0.8769657590000001,-1.419479436,1.3645508709999998,0.9388405240000001,6.339224876,2.035152501,7.64,1.16,1.91,5.77,-1.29,1.38,0.71
M-Ni-Re,-0.00062,0.8745768509999999,-1.3027279459999999,1.340854816,0.43241485399999996,6.112107486,1.9069944859999999,7.64,1.16,1.91,5.77,-1.29,1.38,0.71
M-Ni-Ir,0.19278900000000002,0.864712906,-1.165495492,1.2654326999999999,-0.11765429,6.872548413,1.992737811,7.64,1.16,1.91,5.77,-1.29,1.38,0.71
M-Ni-Pt,0.12779000000000001,0.8710434159999999,-1.1752458209999999,1.251528675,-0.141375267,6.5305769,2.014205656,7.64,1.16,1.91,5.77,-1.29,1.38,0.71
M-Ni,0.513583,0.867716853,-1.4057900319999999,1.374056827,0.454568849,4.933961105,1.91,7.64,1.16,1.91,5.77,-1.29,1.38,0.71
M-Ru,0.277737,0.7051519559999999,-1.408756268,2.07756513,0.107570537,2.469496521,2.2,7.36,1.05,2.2,5.73,-1.41,1.48,1.05
M-Rh,0.553705,0.7909233459999999,-1.6955933419999998,1.876600066,0.26007318100000004,3.119721635,2.28,7.46,1.14,2.28,5.91,-1.73,1.49,0.99
M-Pd,0.9373459999999999,0.917306575,-1.7110530069999998,1.426094341,0.39040219,3.983247775,2.2,8.34,0.56,2.2,5.9,-1.83,1.52,0.94
M-Re,-0.041471,0.6061554929999999,-0.688847766,2.8451759219999997,0.011364061000000002,2.107986715,1.9,7.88,0.15,1.9,5.88,-0.51,1.52,1.2
M-Ir,0.6226520000000001,0.7728682790000001,-2.132659248,2.401270602,0.084761765,2.624798985,2.2,9.1,1.57,2.2,6.63,-2.11,1.5,1.08
M-Pt,0.973152,0.877249873,-2.1169479669999998,1.8979800759999998,0.20837684199999998,3.249394845,2.28,9.0,2.13,2.28,6.74,-2.25,1.53,1.04
M-Au,1.44096,0.968676482,-3.3299244519999998,1.452737489,1.015633156,6.881269606,2.54,9.23,2.31,2.54,6.01,-3.56,1.59,1.01
M-Cu-Ni,0.778271,0.9697250409999999,-2.387534456,1.148638055,0.947712856,7.624793025,1.90299449,7.73,1.24,1.9,5.3,-2.67,1.41,0.67
M-Cu-Ru,0.45447,0.97050704,-2.197331791,0.995456042,1.1766705179999999,9.989445629,1.985428835,7.73,1.24,1.9,5.3,-2.67,1.41,0.67
M-Au-Ru,1.485359,0.959346693,-3.808547618,1.835615684,0.784069727,4.744990112,2.4328224,9.23,2.31,2.54,6.01,-3.56,1.59,1.01
M-Au-Rh,1.593449,0.959370631,-3.684342108,1.831743669,0.7371629909999999,4.67173707,2.459031294,9.23,2.31,2.54,6.01,-3.56,1.59,1.01
M-Au-Pd,1.624388,0.964898733,-3.397581691,1.66532285,0.813645156,5.043149886,2.4328224,9.23,2.31,2.54,6.01,-3.56,1.59,1.01
M-Au-Ag,1.497362,0.968617475,-3.445471538,1.43725264,1.20075314,7.702455616,2.339110801,9.23,2.31,2.54,6.01,-3.56,1.59,1.01
M-Au-W,1.089212,0.95786199,-3.894957872,1.736058853,1.3698951240000001,6.505309061,2.484604129,9.23,2.31,2.54,6.01,-3.56,1.59,1.01
M-Au-Re,1.312816,0.960889309,-3.883491116,1.83908504,0.93003423,5.156064765,2.328143159,9.23,2.31,2.54,6.01,-3.56,1.59,1.01
